"I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","I11","I12","I13","I14","I15","I16","I17","I18"
"Baking Goods","Packaged Vegetables","","","","","","","","","","","","","","","",""
"Hot Beverages","Cold Remedies","Specialty","Bread","Beer and Wine","Vegetables","Snack Foods","Canned Soup","Candy","Jams and Jellies","Starchy Foods","Carbonated Beverages","","","","","",""
"Vegetables","Seafood","Fruit","Beer and Wine","","","","","","","","","","","","","",""
"Snack Foods","Breakfast Foods","Bread","Candy","Bathroom Products","","","","","","","","","","","","",""
"Meat","Specialty","Canned Soup","Dairy","Breakfast Foods","","","","","","","","","","","","",""
"Paper Products","","","","","","","","","","","","","","","","",""
"Hot Beverages","","","","","","","","","","","","","","","","",""
"Candy","Vegetables","Breakfast Foods","Paper Products","","","","","","","","","","","","","",""
"Bread","Baking Goods","","","","","","","","","","","","","","","",""
"Pain Relievers","Snack Foods","Carbonated Beverages","Side Dishes","","","","","","","","","","","","","",""
"Baking Goods","Candy","","","","","","","","","","","","","","","",""
"Miscellaneous","Vegetables","Breakfast Foods","","","","","","","","","","","","","","",""
"Meat","Snack Foods","Vegetables","Jams and Jellies","Fruit","Eggs","Candy","","","","","","","","","","",""
"Magazines","Jams and Jellies","Snack Foods","Plastic Products","Specialty","Vegetables","Canned Soup","","","","","","","","","","",""
"Candy","Pain Relievers","Pizza","","","","","","","","","","","","","","",""
"Snack Foods","Electrical","Starchy Foods","Frozen Desserts","","","","","","","","","","","","","",""
"Side Dishes","Vegetables","Beer and Wine","Snack Foods","","","","","","","","","","","","","",""
"Packaged Vegetables","Canned Tuna","Bathroom Products","Starchy Foods","","","","","","","","","","","","","",""
"Beer and Wine","Meat","Bread","","","","","","","","","","","","","","",""
"Vegetables","Specialty","Fruit","Baking Goods","Hardware","Eggs","Dairy","","","","","","","","","","",""
"Pure Juice Beverages","Paper Products","Canned Shrimp","Hot Beverages","Dairy","","","","","","","","","","","","",""
"Dairy","Snack Foods","Vegetables","Bathroom Products","","","","","","","","","","","","","",""
"Meat","Frozen Desserts","Vegetables","Paper Products","Cleaning Supplies","Fruit","Cold Remedies","Jams and Jellies","Electrical","Candy","Snack Foods","Bread","Bathroom Products","","","","",""
"Fruit","Cold Remedies","Vegetables","Baking Goods","","","","","","","","","","","","","",""
"Plastic Products","Magazines","Beer and Wine","Meat","Dairy","","","","","","","","","","","","",""
"Pure Juice Beverages","","","","","","","","","","","","","","","","",""
"Pain Relievers","Beer and Wine","Candy","Snack Foods","Fruit","","","","","","","","","","","","",""
"Canned Tuna","Snack Foods","Bathroom Products","Candy","Pizza","","","","","","","","","","","","",""
"Bathroom Products","","","","","","","","","","","","","","","","",""
"Meat","","","","","","","","","","","","","","","","",""
"Plastic Products","Snack Foods","Dairy","Paper Products","Fruit","Pain Relievers","Candy","","","","","","","","","","",""
"Electrical","","","","","","","","","","","","","","","","",""
"Pain Relievers","Paper Products","Breakfast Foods","Snack Foods","Vegetables","Jams and Jellies","","","","","","","","","","","",""
"Dairy","Vegetables","Bathroom Products","","","","","","","","","","","","","","",""
"Starchy Foods","Carbonated Beverages","Beer and Wine","Hygiene","Paper Products","","","","","","","","","","","","",""
"Vegetables","Baking Goods","Snack Foods","Beer and Wine","","","","","","","","","","","","","",""
"Hot Beverages","Vegetables","Beer and Wine","Kitchen Products","Fruit","","","","","","","","","","","","",""
"Meat","Beer and Wine","","","","","","","","","","","","","","","",""
"Specialty","Snack Foods","Beer and Wine","Kitchen Products","Hot Beverages","Jams and Jellies","","","","","","","","","","","",""
"Snack Foods","","","","","","","","","","","","","","","","",""
"Kitchen Products","","","","","","","","","","","","","","","","",""
"Dairy","Meat","","","","","","","","","","","","","","","",""
"Snack Foods","Fruit","Starchy Foods","Dairy","","","","","","","","","","","","","",""
"Electrical","Vegetables","Snack Foods","Hot Beverages","Magazines","Pain Relievers","","","","","","","","","","","",""
"Snack Foods","Vegetables","Pain Relievers","Hygiene","Miscellaneous","Candy","","","","","","","","","","","",""
"Baking Goods","Electrical","Meat","Dairy","","","","","","","","","","","","","",""
"Meat","Fruit","Jams and Jellies","Electrical","Bread","","","","","","","","","","","","",""
"Frozen Desserts","Baking Goods","Canned Soup","Snack Foods","","","","","","","","","","","","","",""
"Beer and Wine","Magazines","Meat","","","","","","","","","","","","","","",""
"Kitchen Products","Baking Goods","Breakfast Foods","Jams and Jellies","Frozen Entrees","","","","","","","","","","","","",""
"Baking Goods","Vegetables","Pure Juice Beverages","Snack Foods","Bread","","","","","","","","","","","","",""
"Snack Foods","Vegetables","Breakfast Foods","Fruit","Cleaning Supplies","","","","","","","","","","","","",""
"Eggs","Carbonated Beverages","Electrical","Dairy","Bread","Canned Soup","","","","","","","","","","","",""
"Bathroom Products","Pizza","Beer and Wine","","","","","","","","","","","","","","",""
"Electrical","Snack Foods","Meat","","","","","","","","","","","","","","",""
"Jams and Jellies","Vegetables","","","","","","","","","","","","","","","",""
"Baking Goods","Jams and Jellies","Candy","Beer and Wine","Snack Foods","Dairy","Vegetables","","","","","","","","","","",""
"Decongestants","Dairy","Beer and Wine","Vegetables","Electrical","","","","","","","","","","","","",""
"Canned Tuna","Frozen Desserts","Baking Goods","Vegetables","Starchy Foods","Snack Foods","","","","","","","","","","","",""
"Vegetables","","","","","","","","","","","","","","","","",""
"Vegetables","Snack Foods","Meat","","","","","","","","","","","","","","",""
"Beer and Wine","Vegetables","Dairy","Snack Foods","Fruit","Meat","","","","","","","","","","","",""
"Vegetables","Hardware","Jams and Jellies","","","","","","","","","","","","","","",""
"Jams and Jellies","Candy","Vegetables","","","","","","","","","","","","","","",""
"Meat","Snack Foods","Fruit","Beer and Wine","Dairy","","","","","","","","","","","","",""
"Vegetables","Bathroom Products","Beer and Wine","Starchy Foods","Bread","","","","","","","","","","","","",""
"Frozen Desserts","Vegetables","","","","","","","","","","","","","","","",""
"Vegetables","Eggs","Fruit","Snack Foods","Dairy","Baking Goods","","","","","","","","","","","",""
"Hygiene","Vegetables","Jams and Jellies","Paper Products","Snack Foods","","","","","","","","","","","","",""
"Fruit","Breakfast Foods","Snack Foods","Dairy","Bathroom Products","","","","","","","","","","","","",""
"Vegetables","Canned Tuna","Fruit","Frozen Entrees","Pure Juice Beverages","","","","","","","","","","","","",""
"Canned Soup","Pain Relievers","Canned Clams","Pizza","","","","","","","","","","","","","",""
"Dairy","Seafood","Candy","Plastic Products","Frozen Desserts","Breakfast Foods","","","","","","","","","","","",""
"Fruit","Jams and Jellies","","","","","","","","","","","","","","","",""
"Baking Goods","","","","","","","","","","","","","","","","",""
"Fruit","Baking Goods","Hygiene","Plastic Products","Vegetables","Paper Products","","","","","","","","","","","",""
"Canned Soup","Magazines","","","","","","","","","","","","","","","",""
"Pizza","Bread","Canned Soup","","","","","","","","","","","","","","",""
"Side Dishes","Electrical","Canned Soup","Meat","Starchy Foods","","","","","","","","","","","","",""
"Side Dishes","Dairy","","","","","","","","","","","","","","","",""
"Decongestants","Dairy","Vegetables","","","","","","","","","","","","","","",""
"Vegetables","Snack Foods","Bread","Electrical","Fruit","Canned Soup","","","","","","","","","","","",""
"Vegetables","Magazines","Candles","","","","","","","","","","","","","","",""
"Frozen Desserts","Meat","Jams and Jellies","Vegetables","","","","","","","","","","","","","",""
"Dairy","Candy","Snack Foods","Frozen Desserts","Jams and Jellies","Specialty","Breakfast Foods","Electrical","Fruit","","","","","","","","",""
"Jams and Jellies","Kitchen Products","Frozen Desserts","Starchy Foods","Snack Foods","Vegetables","","","","","","","","","","","",""
"Jams and Jellies","Dairy","Vegetables","Breakfast Foods","Snack Foods","","","","","","","","","","","","",""
"Vegetables","Jams and Jellies","Canned Soup","","","","","","","","","","","","","","",""
"Bread","Canned Soup","Electrical","","","","","","","","","","","","","","",""
"Vegetables","Beer and Wine","Canned Soup","Snack Foods","Fruit","Seafood","Jams and Jellies","","","","","","","","","","",""
"Candy","Pizza","Beer and Wine","Kitchen Products","Specialty","Dairy","Pain Relievers","Fruit","Vegetables","","","","","","","","",""
"Fruit","Breakfast Foods","Dairy","Bread","Vegetables","Canned Soup","","","","","","","","","","","",""
"Eggs","Vegetables","Breakfast Foods","","","","","","","","","","","","","","",""
"Bread","Pure Juice Beverages","Vegetables","Frozen Desserts","Specialty","","","","","","","","","","","","",""
"Vegetables","Jams and Jellies","Bathroom Products","Electrical","Paper Products","","","","","","","","","","","","",""
"Cleaning Supplies","Bread","Side Dishes","Meat","Frozen Entrees","Jams and Jellies","","","","","","","","","","","",""
"Meat","Canned Clams","Dairy","","","","","","","","","","","","","","",""
"Snack Foods","Plastic Products","Dairy","","","","","","","","","","","","","","",""
"Canned Soup","Cleaning Supplies","","","","","","","","","","","","","","","",""
"Pure Juice Beverages","Jams and Jellies","Snack Foods","Pain Relievers","","","","","","","","","","","","","",""
"Paper Products","Meat","Fruit","","","","","","","","","","","","","","",""
"Vegetables","Carbonated Beverages","Jams and Jellies","Bathroom Products","Canned Clams","Specialty","","","","","","","","","","","",""
"Fruit","Breakfast Foods","Bathroom Products","","","","","","","","","","","","","","",""
"Cleaning Supplies","Pizza","","","","","","","","","","","","","","","",""
"Candy","Canned Soup","","","","","","","","","","","","","","","",""
"Paper Products","Electrical","Meat","","","","","","","","","","","","","","",""
"Pure Juice Beverages","Kitchen Products","","","","","","","","","","","","","","","",""
"Vegetables","Pizza","Snack Foods","Paper Products","","","","","","","","","","","","","",""
"Canned Sardines","Vegetables","Starchy Foods","Canned Soup","","","","","","","","","","","","","",""
"Hot Beverages","Carbonated Beverages","","","","","","","","","","","","","","","",""
"Vegetables","Paper Products","Pain Relievers","Specialty","","","","","","","","","","","","","",""
"Kitchen Products","Baking Goods","Snack Foods","Fruit","Paper Products","Specialty","","","","","","","","","","","",""
"Dairy","","","","","","","","","","","","","","","","",""
"Hot Beverages","Vegetables","Bathroom Products","Dairy","","","","","","","","","","","","","",""
"Dairy","Vegetables","Canned Anchovies","","","","","","","","","","","","","","",""
"Jams and Jellies","Snack Foods","Dairy","Baking Goods","Fruit","Candy","","","","","","","","","","","",""
"Canned Shrimp","Hygiene","Vegetables","Jams and Jellies","Paper Products","Snack Foods","","","","","","","","","","","",""
"Snack Foods","Meat","Vegetables","Frozen Entrees","","","","","","","","","","","","","",""
"Snack Foods","Vegetables","Hot Beverages","Beer and Wine","Bathroom Products","Dairy","","","","","","","","","","","",""
"Dairy","Snack Foods","Vegetables","Kitchen Products","Hygiene","","","","","","","","","","","","",""
"Frozen Desserts","Vegetables","Pure Juice Beverages","Canned Soup","","","","","","","","","","","","","",""
"Eggs","Dairy","Canned Clams","Vegetables","Fruit","Packaged Vegetables","","","","","","","","","","","",""
"Specialty","Pure Juice Beverages","Carbonated Beverages","Canned Soup","Dairy","Hardware","Meat","","","","","","","","","","",""
"Fruit","Cleaning Supplies","Jams and Jellies","","","","","","","","","","","","","","",""
"Breakfast Foods","Baking Goods","Hardware","Beer and Wine","Fruit","Frozen Desserts","Snack Foods","Dairy","Pizza","Bread","Starchy Foods","Jams and Jellies","Vegetables","","","","",""
"Fruit","Snack Foods","Magazines","Paper Products","","","","","","","","","","","","","",""
"Baking Goods","Starchy Foods","Pain Relievers","","","","","","","","","","","","","","",""
"Candy","Hardware","","","","","","","","","","","","","","","",""
"Bathroom Products","Bread","Baking Goods","Hygiene","Dairy","Hardware","","","","","","","","","","","",""
"Fruit","Vegetables","Baking Goods","Candles","Plastic Products","Jams and Jellies","Carbonated Beverages","","","","","","","","","","",""
"Plastic Products","Vegetables","","","","","","","","","","","","","","","",""
"Canned Soup","Jams and Jellies","Snack Foods","Fruit","","","","","","","","","","","","","",""
"Fruit","Candles","Baking Goods","Jams and Jellies","","","","","","","","","","","","","",""
"Meat","Seafood","","","","","","","","","","","","","","","",""
"Seafood","","","","","","","","","","","","","","","","",""
"Jams and Jellies","Snack Foods","Bread","","","","","","","","","","","","","","",""
"Fruit","Breakfast Foods","Vegetables","Meat","Frozen Desserts","Pain Relievers","","","","","","","","","","","",""
"Jams and Jellies","Fruit","Vegetables","Bread","Canned Sardines","","","","","","","","","","","","",""
